Table,analog_output,,
ConstraintTable,ConstraintField,ColumnConstrained,ColumnEquivalent
tag,id,name,tag_id
history_type_vw,id,code,history_type_id
Data,,,
tag_id,zero_value,max_value,history_type_id
RU1CP-AO,0,440,N
RU1GP-AO,0,440,N
RU1FOP-AO,0,440,N
RU1JP-AO,0,440,N
RU1RFP-AO,0,440,N
RU1LRP-AO,0,440,N
RU1AP-AO,0,440,N
RU1LP-AO,0,440,N
RU2CP-AO,0,440,N
RU2GP-AO,0,440,N
RU2FOP-AO,0,440,N
RU2JP-AO,0,440,N
RU2RFP-AO,0,440,N
RU2LRP-AO,0,440,N
RU2AP-AO,0,440,N
RU2LP-AO,0,440,N
SB1P2-AO,0,440,N
SB1P3-AO,0,440,N
SB1P4-AO,0,440,N
SB2P1-AO,0,440,N
SB2P2-AO,0,440,N
SB2P3-AO,0,440,N
SB2P4-AO,0,440,N
End
