Table,digital_input,,
ConstraintTable,ConstraintField,ColumnConstrained,ColumnEquivalent
tag,id,name,tag_id
Data,,,
tag_id,scan_int,scan_offset,alarm_code,alarm_state,value_view
RU1CP-DI,1,0,1,,off_on_vw
RU1GP-DI,1,0,1,,off_on_vw
RU1FOP-DI,1,0,1,,off_on_vw
RU1JP-DI,1,0,1,,off_on_vw
RU1RFP-DI,1,0,1,,off_on_vw
RU1LRP-DI,1,0,1,,off_on_vw
RU1AP-DI,1,0,1,,off_on_vw
RU1LP-DI,1,0,1,,off_on_vw
RU2CP-DI,1,0,1,,off_on_vw
RU2GP-DI,1,0,1,,off_on_vw
RU2FOP-DI,1,0,1,,off_on_vw
RU2JP-DI,1,0,1,,off_on_vw
RU2RFP-DI,1,0,1,,off_on_vw
RU2LRP-DI,1,0,1,,off_on_vw
RU2AP-DI,1,0,1,,off_on_vw
RU2LP-DI,1,0,1,,off_on_vw
SB1P2-DI,1,0,1,,off_on_vw
SB1P3-DI,1,0,1,,off_on_vw
SB1P4-DI,1,0,1,,off_on_vw
SB2P1-DI,1,0,1,,off_on_vw
SB2P2-DI,1,0,1,,off_on_vw
SB2P3-DI,1,0,1,,off_on_vw
SB2P4-DI,1,0,1,,off_on_vw
End
