Table,rel_tag_tag,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
parent_tag_id,tag,id,name,tag,tag_type_code,tag_type_code
child_tag_id,tag,id,name,tag,tag_type_code,tag_type_code
Data,,,
parent_tag_id,child_tag_id,code
3WayValve|SCO,RU1CP-DI|DI,NULL
3WayValve|SCO,RU1CP-DO|DO,NULL
3WayVlvBtm|SCO,RU1CP-DI|DI,NULL
3WayVlvLft|SCO,RU1CP-DI|DI,NULL
3WayVlvRt|SCO,RU1CP-DI|DI,NULL
AsfaltUnit|PU,AT01|TK,NULL
AsfaltUnit|PU,AT02|TK,NULL
AsfaltUnit|PU,AT03|TK,NULL
AsfaltUnit|PU,AT04|TK,NULL
AsfaltUnit|PU,NT04|TK,NULL
Asphalts|FLD,AT01|TK,NULL
Asphalts|FLD,AT02|TK,NULL
Asphalts|FLD,AT03|TK,NULL
Asphalts|FLD,AT04|TK,NULL
Asphalts|FLD,NT04|TK,NULL
AT01|TK,AT01-L|AI,NULL
AT01|TK,AT01-T|AI,NULL
AT01|TK,AT01-Vi|V,INL
AT01|TK,AT01-Vo|V,OUTL
AT01|TK,AT01-Pmp|PMP,OUTL
AT01-Pmp|PMP,AT01-PoDI|DI,OUTL
AT01-Pmp|PMP,AT01-PoDO|DO,OUTL
AT01-Vi|V,AT01-ViDI|DI,INL
AT01-Vi|V,AT01-ViDO|DO,INL
AT01-Vo|V,AT01-VoDI|DI,OUTL
AT01-Vo|V,AT01-VoDO|DO,OUTL
AT02|TK,AT02-L|AI,NULL
AT02|TK,AT02-T|AI,NULL
AT02|TK,AT02-Vi|V,INL
AT02|TK,AT02-Vo|V,OUTL
AT02|TK,AT02-Pmp|PMP,OUTL
AT02-Pmp|PMP,AT02-PoDI|DI,OUTL
AT02-Pmp|PMP,AT02-PoDO|DO,OUTL
AT02-Vi|V,AT02-ViDI|DI,INL
AT02-Vi|V,AT02-ViDO|DO,INL
AT02-Vo|V,AT02-VoDI|DI,OUTL
AT02-Vo|V,AT02-VoDO|DO,OUTL
AT03|TK,AT03-L|AI,NULL
AT03|TK,AT03-T|AI,NULL
AT03|TK,AT03-Vi|V,INL
AT03|TK,AT03-Vo|V,OUTL
AT03|TK,AT03-Pmp|PMP,OUTL
AT03-Pmp|PMP,AT03-PoDI|DI,OUTL
AT03-Pmp|PMP,AT03-PoDO|DO,OUTL
AT03-Vi|V,AT03-ViDI|DI,INL
AT03-Vi|V,AT03-ViDO|DO,INL
AT03-Vo|V,AT03-VoDI|DI,OUTL
AT03-Vo|V,AT03-VoDO|DO,OUTL
AT04|TK,AT04-L|AI,NULL
AT04|TK,AT04-T|AI,NULL
AT04|TK,AT04-Vi|V,INL
AT04|TK,AT04-Vo|V,OUTL
AT04|TK,AT04-Pmp|PMP,OUTL
AT04-Pmp|PMP,AT04-PoDI|DI,OUTL
AT04-Pmp|PMP,AT04-PoDO|DO,OUTL
AT04-Vi|V,AT04-ViDI|DI,INL
AT04-Vi|V,AT04-ViDO|DO,INL
AT04-Vo|V,AT04-VoDI|DI,OUTL
AT04-Vo|V,AT04-VoDO|DO,OUTL
CDC01|SCO,CT01-L|AI,NULL
CDC02|SCO,CT02-L|AI,NULL
CDC03|SCO,CT03-L|AI,NULL
CDC04|SCO,CT04-L|AI,NULL
CDC05|SCO,CT05-L|AI,NULL
CDC06|SCO,CT06-L|AI,NULL
CDC07|SCO,CT07-L|AI,NULL
CDC08|SCO,CT08-L|AI,NULL
CDC09|SCO,CT09-L|AI,NULL
CDC10|SCO,CT10-L|AI,NULL
CDC11|SCO,CT11-L|AI,NULL
CDC12|SCO,CT12-L|AI,NULL
CDP-CT01|SCO,CT01-ViDI|DI,NULL
CDP-CT02|SCO,CT02-ViDI|DI,NULL
CDP-CT03|SCO,CT03-ViDI|DI,NULL
CDP-CT04|SCO,CT05-ViDI|DI,NULL
CDP-CT05|SCO,CT05-ViDI|DI,NULL
CDP-CT06|SCO,CT06-ViDI|DI,NULL
CDP-CT07|SCO,CT07-ViDI|DI,NULL
CDP-CT08|SCO,CT08-ViDI|DI,NULL
CDP-CT09|SCO,CT09-ViDI|DI,NULL
CDP-CT10|SCO,CT10-ViDI|DI,NULL
CDP-CT11|SCO,CT11-ViDI|DI,NULL
CDP-CT12|SCO,CT12-ViDI|DI,NULL
CDP-CT5|SCO,CT05-ViDI|DI,NULL
CDP-D1-1|SCO,Ship1-DI|DI,NULL
CDP-D2-1|SCO,Ship2-DI|DI,NULL
CDP-D2-3|SCO,D12-DI|DI,NULL
CDP-D3-4|SCO,D123-DI|DI,NULL
CDP-D4-1|SCO,Ship4-DI|DI,NULL
CDP-D4-Tks|SCO,D1234-DI|DI,NULL
CDP-DCT-1|SCO,Ship1-DI|DI,NULL
CDP-DCT-2|SCO,D1234-DI|DI,NULL
CDShip1|SCO,Ship1-DI|DI,NULL
CDShip2|SCO,Ship2-DI|DI,NULL
CDShip4|SCO,Ship4-DI|DI,NULL
CDVi01|SCO,CT01-ViDI|DI,NULL
CDVi01|SCO,CT01-ViDO|DO,NULL
CDVi02|SCO,CT02-ViDI|DI,NULL
CDVi02|SCO,CT02-ViDO|DO,NULL
CDVi03|SCO,CT03-ViDI|DI,NULL
CDVi03|SCO,CT03-ViDO|DO,NULL
CDVi04|SCO,CT04-ViDI|DI,NULL
CDVi04|SCO,CT04-ViDO|DO,NULL
CDVi05|SCO,CT05-ViDI|DI,NULL
CDVi05|SCO,CT05-ViDO|DO,NULL
CDVi06|SCO,CT06-ViDI|DI,NULL
CDVi06|SCO,CT06-ViDO|DO,NULL
CDVi07|SCO,CT07-ViDI|DI,NULL
CDVi07|SCO,CT07-ViDO|DO,NULL
CDVi08|SCO,CT08-ViDI|DI,NULL
CDVi08|SCO,CT08-ViDO|DO,NULL
CDVi09|SCO,CT09-ViDI|DI,NULL
CDVi09|SCO,CT09-ViDO|DO,NULL
CDVi10|SCO,CT10-ViDI|DI,NULL
CDVi10|SCO,CT10-ViDO|DO,NULL
CDVi11|SCO,CT11-ViDI|DI,NULL
CDVi11|SCO,CT11-ViDO|DO,NULL
CDVi12|SCO,CT12-ViDI|DI,NULL
CDVi12|SCO,CT12-ViDO|DO,NULL
Com011-CV|C,CT011-VoDI|DI,1
Com011-CV|C,CT021-VoDI|DI,2
Com011-CV|C,CT011-VoDI|DI,1
Com011-CV|C,CT021-VoDI|DI,2
Com012-CV|C,CT051-VoDI|DI,1
Com012-CV|C,CT061-VoDI|DI,2
Com012-CV|C,CT051-VoDI|DI,1
Com012-CV|C,CT061-VoDI|DI,2
Com012-CV|C,CT051-VoDI|DI,1
Com012-CV|C,CT061-VoDI|DI,2
Com013-CV|C,CT091-VoDI|DI,1
Com013-CV|C,CT101-VoDI|DI,2
Com013-CV|C,CT091-VoDI|DI,1
Com013-CV|C,CT101-VoDI|DI,2
Com014-CV|C,CT031-VoDI|DI,1
Com014-CV|C,CT041-VoDI|DI,2
Com014-CV|C,CT031-VoDI|DI,1
Com014-CV|C,CT041-VoDI|DI,2
Com015-CV|C,CT071-VoDI|DI,1
Com015-CV|C,CT081-VoDI|DI,2
Com015-CV|C,CT071-VoDI|DI,1
Com015-CV|C,CT081-VoDI|DI,2
Com016-CV|C,CT111-VoDI|DI,1
Com016-CV|C,CT121-VoDI|DI,2
Com016-CV|C,CT111-VoDI|DI,1
Com016-CV|C,CT121-VoDI|DI,2
Com021-CV|C,CT012-VoDI|DI,1
Com021-CV|C,CT022-VoDI|DI,2
Com021-CV|C,CT012-VoDI|DI,1
Com021-CV|C,CT022-VoDI|DI,2
Com022-CV|C,CT052-VoDI|DI,1
Com022-CV|C,CT062-VoDI|DI,2
Com022-CV|C,CT052-VoDI|DI,1
Com022-CV|C,CT062-VoDI|DI,2
Com023-CV|C,CT092-VoDI|DI,1
Com023-CV|C,CT102-VoDI|DI,2
Com023-CV|C,CT092-VoDI|DI,1
Com023-CV|C,CT102-VoDI|DI,2
